username,name,role,linked_patient_id,medical_emergency,password_hash,last_login
PAT-1007,Meena Iyer,patient,PAT-1007,"Contact: Ravi (Husband), Phone: 9822334455",scrypt:32768:8:1$kMmyf4PhhsLfcNJ4$fd3923f04b66d4ddbcee174a84943154556d366ac84251e97ca710f6d43efbe73cfe737d3544d15443877d2111bac02486d4027026167f746d62aafa0a412f22,
PAT-1008,Sameer Khan,patient,PAT-1008,"Contact: Farah (Daughter), Phone: 9890011223",scrypt:32768:8:1$9RHyS2x0ZVPw9up7$5b0bb2e09a46d33a472e7ae7dff6accebf16439f7d1ba56c1258cbce41145f37f91938c413f72e87b12e256175cbd6e69482497f4ae113032009062b4604ab5c,
PAT-1009,Priya Patel,patient,PAT-1009,"Contact: Kiran (Mother), Phone: 9765001122",scrypt:32768:8:1$n4tvPKlnPYe1QICI$6d384d0859c63dd59ad91d010bea1213ec9716c77b0425e461d4981d5e43f950a8dfdc4e90e40ae5362230ff37a07ab78c817eb7594677930883120daf66dce7,
PAT-1010,Ramesh Kulkarni,patient,PAT-1010,"Contact: Sunita (Wife), Phone: 9823456781",scrypt:32768:8:1$d7lDK4z56zDUZNDg$a3489f15b5e67be0ad48c0eae5c703287589b8c68861f995ff4287de1bf78505903ea1997a6687a289b4b35b9a344694eb792121ea7fa77c706219eaa8704639,
PAT-1011,Neha Bhatt,patient,PAT-1011,"Contact: Devang (Brother), Phone: 9900887766",scrypt:32768:8:1$oUzTLGgvip9olib8$f14dc8b9a4f1b27f25b1a984332bbba0c32e84eed6558548d1d69357b780cc4144036bcc641ed278fdfb8f0157850678f79e048cf34692b6c600675ba4bb8903,
miqdad,Miqdad Rangwala,patient,PAT-2000,7489471489,scrypt:32768:8:1$kAFbEyGqaUjZ8SFX$a77d264b812fafdd4952b11158d4e4d845f1a71b1f17b7663ede8e26726d3b262c0ab60c7b85522b25de63501b70f5ff4eb2e072cb30b8f494052a91caea9b93,2026-09-11T14:55:15+00:00
PAT-2000,Miqdad Rangwala,patient,PAT-2000,7489471489,scrypt:32768:8:1$v1owAUaIXTN1xvk0$b49b4371bacf0e8c7898da64028d114a4d3323ae79d87afe9644b0160ce33776ba3eafb0bbc5ce6b8a28d42ba297d18e60cab0b456604363c0d0b54d243b5efa,
1001,Sunita Rao,patient,1001,"Contact: Suresh (Son), Phone: 9871122334",scrypt:32768:8:1$GRJ6bBYEyffQW67I$1b23bcf999e38a32608d0cd4cff28febc2984f5b059f7869d4a1ef620fe0563391a12c10e2bf8071c212de47b14ada18b3a40aba3c19d92a1bf0d226b7701050,
1002,Vikram Malhotra,patient,1002,"Contact: Meena (Wife), Phone: 9819988776",scrypt:32768:8:1$5QxREOKtdLR8xD0O$e3e684b15cde48881ed153046456a9641cfc8084711b60c33801c4607d5cb03e81df01669696b7f7f8481b37a8dc70d86cd813a61adc3f227e7362a68f0aa02c,
1003,Kavita Joshi,patient,1003,"Contact: Rakesh (Spouse), Phone: 9765432109",scrypt:32768:8:1$SLmvgO1dqOxrZrEQ$2165ef517252f1c58c608d406fd8149c7087ee767d1b3ad01f6875c190f0a243776609e869b49d9490609ee6bdea9daf87beff9b62b0d6b6587dd46bcbddf3fb,
1004,Arjun Nair,patient,1004,"Contact: Dr. Iyer, Phone: 9823019283",scrypt:32768:8:1$jkX5Rq1aXIe8nZnd$a1da3e27851644f2d2ce57013090f29c07083dc4c73158aff806b9acf6a5be4a27872d2fa3b21bd9b94dd0fafdb752b1c5925586b48a2fb7b073743182bde6d6,
1005,Fatima Sheikh,patient,1005,"Contact: Tariq (Brother), Phone: 9890123456",scrypt:32768:8:1$Mrf7tktXUo0FX3J2$67eeb9cf488428158d4f18b52020cef667d1b288e506489020140d54afbcb306fb73c5b52de479884b95300e1c319c62f3ca5911717df64527b3b7da9c6cb846,
1006,Rahul Verma,patient,1006,"Contact: Anjali (Spouse), Phone: 9812345670",scrypt:32768:8:1$lWwdG5THljWT84NN$5ae93bcfa5cc7609e8536938594ac1549038d881fee1fa3b09b0b48439e17881be93d2f942b2253758013fe14a936f683c7cf6360e74921e3aa52b1bbdb921c9,
1007,Meena Iyer,patient,1007,"Contact: Ravi (Husband), Phone: 9822334455",scrypt:32768:8:1$tTnpFNB7wLbRNq7j$8cb294cbae627f1e99041ccde1332c7b1e0cde9f90b13567eb85e276d8e6729c8f290c2b9cf15d62e72210a436a061479a478180325a1f1a6e5d517a94527ef5,
1008,Sameer Khan,patient,1008,"Contact: Farah (Daughter), Phone: 9890011223",scrypt:32768:8:1$r76cSzNi1hNLXXLb$b846f3abe401dc58e6832c45c1d097e19676759a82fb0bfaca7c72eff169c474f62b5c9d25db2b2cc6388eba1d4c28d262af762486b8a7aa888b48781e56e9ff,
1009,Priya Patel,patient,1009,"Contact: Kiran (Mother), Phone: 9765001122",scrypt:32768:8:1$EW9jYCACVLzjvC8G$f05044104e7a2d1a6d740b79308d94f1e01243cbb2e942d1c8df6d9d3c55786d9a9c37900181dbab5fcd161c931d278e5d1a1977b3f7fa8f364dd7e7fa1b881c,
1010,Ramesh Kulkarni,patient,1010,"Contact: Sunita (Wife), Phone: 9823456781",scrypt:32768:8:1$WOAAmIecpDPdzzs1$f208bff1d84935554c7fc232521282b5a8dd84e08017c8fa905b2e70ff8af0c82c3fd1dda7d93d1f6d03a4b6b5307719b569d07b2bf73841aff95dadda408964,
1011,Neha Bhatt,patient,1011,"Contact: Devang (Brother), Phone: 9900887766",scrypt:32768:8:1$oHbTcYrHLWUdX7Kr$ed12c68af136e4cd6b168f85539816dd94ab3c5c254fd23a415cc5a4f204e8f8d1ed97aadeff73bfb57793c14939ec0323b624aa5522f8f960c1a6ce37482cbe,
manager,Manager User,admin,,"Emergency Contact: XYZ, Phone: 9123456780",scrypt:32768:8:1$6MtepgNEmC9ABATE$07eaaac6af093db0c27f1075f4d1c312a5ad0b05318bc5b2f05ff4acf9f38f2faa6f7179c44fa32e9cc36f55bdd3edf4e66518bfb440a1c20ca08ab28420893a,
